"Title","Year","Album.debut","Duration","Other.releases","Genre","Songwriter","Lead.vocal","Top.50.Billboard","Platinum","Score"
"12-Bar Original",1965,"Anthology 2",174,NA,"Blues","Lennon, McCartney, Harrison and Starkey","",NA,FALSE,6
"A Day in the Life",1967,"Sgt. Pepper's Lonely Hearts Club Band",335,12,"Psychedelic Rock, Art Rock, Pop/Rock","Lennon and McCartney","Lennon and McCartney",NA,TRUE,6
"A Hard Day's Night",1964,"UK: A Hard Day's Night US: 1962-1966",152,35,"Rock, Electronic, Pop/Rock","Lennon","Lennon, with McCartney",8,TRUE,6
"12-Bar Original",1965,"Anthology 2",174,NA,"Blues","Lennon, McCartney, Harrison and Starkey","",NA,FALSE,6
"A Shot of Rhythm and Blues",1963,"Live at the BBC",104,NA,"R&B, Pop/Rock","Thompson","Lennon",NA,TRUE,10
"A Taste of Honey",1963,"UK: Please Please Me US: The Early Beatles",163,29,"Pop/Rock, Jazz, Stage&Screen","Scott, Marlow","McCartney",NA,FALSE,6
"Across the Universe",1968,"Let It Be",230,19,"Psychedelic folk, Pop/Rock","Lennon","Lennon",NA,TRUE,9
"Act Naturally",1965,"UK: Help! US: Yesterday and Today",139,14,"Country, Pop/Rock","Russell, Morrison","Starkey",50,FALSE,9
"Ain't She Sweet",1961,"Anthology 1",NA,9,"Pop/Rock","Yellen, Ager","Lennon",41,FALSE,5
"All I've Got to Do",1963,"UK: With the Beatles US: Meet The Beatles!",124,9,"Pop/Rock","Lennon","Lennon",NA,FALSE,10
"All My Loving",1963,"UK: With the Beatles US: Meet The Beatles!",124,32,"Pop/Rock","McCartney","McCartney",NA,TRUE,6
"All Things Must Pass",1969,"Anthology 3",227,NA,"Folk Rock, Pop/Rock","Harrison","Harrison",NA,FALSE,7
"All Together Now",1967,"Yellow Submarine",130,8,"Skiffle, Pop/Rock","McCartney, with Lennon","McCartney, with Lennon",NA,FALSE,8
"All You Need Is Love",1967,"Magical Mystery Tour",237,25,"Pop/Rock","Lennon","Lennon",15,FALSE,8
"And I Love Her",1964,"UK: A Hard Day's Night US: Something New",152,29,"Pop/Rock","McCartney, with Lennon","McCartney",37,FALSE,10
"And Your Bird Can Sing",1966,"UK: Revolver US: Yesterday and Today",121,9,"Power Pop, Psychedelic Pop, Pop/Rock","Lennon, with McCartney","Lennon",NA,TRUE,10
